,frequency
hands,1
handle turkey,1
handle the situation,1
handle the,1
handle it once every,1
handle it once,1
handle it,1
handle his fleets,1
handle france,1
handle england,1
handle austria,1
handed the war in,1
handed the war,1
handed the,1
handed,1
hand to me that,1
greece over to,1
greece over,1
greece or the rest,1
good at sleep schedules,1
good chance to,1
good chance,1
good can you get,1
good can you,1
good can,1
good but how does,1
good but how,1
good but,1
good at sleep,1
good consider,1
good as could figure,1
good as could,1
good as,1
good and he supporting,1
good and he,1
good and,1
good alliance,1
good after the surprise,1
good chance to stab,1
good consider it,1
good after,1
good day hehe whichever,1
good enough that you,1
good enough that,1
good enough terms that,1
good enough terms,1
good enough,1
good deal to me,1
good deal to,1
good deal,1
good day hehe,1
good consider it done,1
good day,1
good coordination,1
good convoy to livonia,1
good convoy to,1
good convoy,1
good conversations with france,1
good conversations with,1
good conversations,1
good after the,1
good,1
good enough to quickly,1
gonna propose if,1
gonna sit on this,1
gonna sit on,1
gonna sit,1
gonna see if,1
gonna see,1
gonna roll this,1
gonna roll,1
gonna propose if you,1
gonna propose,1
gonna sound bit,1
gonna move in deeper,1
gonna move in,1
gonna move,1
gonna lie rusty start,1
gonna lie rusty,1
gonna lie,1
gonna leak to them,1
gonna leak,1
gonna sound,1
gonna sound bit greedy,1
gonna work it out,1
gonna try and,1
gonna work it,1
gonna work,1
gonna try to take,1
gonna try to,1
gonna try for sweden,1
gonna try for,1
gonna try and get,1
gonna try and butter,1
gonna try,1
gonna support,1
gonna tell italy that,1
gonna tell italy,1
gonna tell,1
gonna tap smy can,1
gonna tap smy,1
gonna tap,1
gonna support me into,1
gonna support me,1
good enough to,1
good faith,1
greece or the,1
good luck on your,1
good lucks and have,1
good lucks and,1
good lucks,1
good luck with your,1
good luck with that,1
good luck with,1
good luck to you,1
good luck to,1
good luck on,1
good match and,1
good luck in stopping,1
good luck in,1
good luck and that,1
good luck and sorry,1
good luck and,1
good luck,1
good look whatever your,1
good look whatever,1
good match,1
good move,1
good let me know,1
good offer from,1
good on paper,1
good on,1
good old fashioned bounce,1
good old fashioned,1
good old,1
good ol fashioned austria,1
good ol fashioned,1
good ol,1
good offer,1
good move for,1
good offense,1
good night or good,1
good night or,1
good night,1
good news is that,1
good news is,1
good news,1
good move for you,1
good look,1
good let me,1
good faith and,1
good form,1
good glad to,1
good glad,1
good friend what supply,1
good friend what,1
good friend for me,1
good friend for,1
good form to leave,1
good form to,1
good for you especially,1
good good,1
good for you,1
good for us,1
good for me to,1
good for me but,1
good for me,1
good for,1
good fight,1
good faith and instead,1
good glad to hear,1
good good and,1
good let,1
good idea for me,1
good in the,1
good imma put up,1
good imma,1
good im sorry man,1
good im sorry,1
good ill grab bot,1
good ill grab,1
good ill,1
good idea for,1
good good and he,1
good idea,1
good hold for me,1
good hold for,1
good hold,1
good health at least,1
good health,1
good head start,1
good head,1
gonna last very,1
gonna last,1
gonna know,1
going to lose lot,1
going to norway,1
going to need two,1
going to need,1
going to move sev,1
going to move on,1
going to move,1
going to make go,1
going to make,1
going to lose centers,1
going to norway or,1
going to look like,1
going to look,1
going to let them,1
going to let me,1
going to let,1
going to leave an,1
going to leave,1
going to keep helping,1
going to norway in,1
going to not,1
going to italy,1
going to see,1
going to stab,1
going to st petersburg,1
going to spread lies,1
going to spread,1
going to so if,1
going to so,1
going to shrink myself,1
going to shrink,1
going to screw you,1
going to not attack,1
going to screw,1
going to say on,1
going to say id,1
going to say,1
going to ruin the,1
going to ruin,1
going to respond,1
going to protect,1
going to just lose,1
going to improve any,1
gonna help you more,1
going to easily,1
going to follow,1
going to focus more,1
going to focus,1
going to end up,1
going to end,1
going to either move,1
going to either,1
going to easily walk,1
going to do yet,1
going to gang,1
going to do with,1
going to do that,1
going to do but,1
going to do about,1
going to do,1
going to deal with,1
going to deal,1
going to convoy to,1
going to follow quickly,1
going to get,1
going to improve,1
going to have,1
going to hit germany,1
going to hit certain,1
going to hit,1
going to helgoland without,1
going to helgoland,1
going to have to,1
going to have much,1
going to have fleets,1
going to happen at,1
going to get stopped,1
going to happen,1
going to go next,1
going to go into,1
going to go,1
going to give up,1
going to give england,1
going to give,1
going to get too,1
going to stab me,1
going to stop,1
going to stop me,1
gonna be,1
gonna finish building this,1
gonna finish,1
gonna do with that,1
gonna do with,1
gonna do,1
gonna come from,1
gonna be where this,1
gonna be where,1
gonna actually move that,1
gonna get all,1
gonna actually,1
gonna,1
gone to bed but,1
gone to,1
gone through transformation,1
gone through,1
gone soon,1
gone nwy isn threat,1
gonna get,1
gonna get all up,1
going to support,1
gonna have good time,1
gonna help you,1
gonna help,1
gonna have to think,1
gonna have to deal,1
gonna have to,1
gonna have rough time,1
gonna have rough,1
gonna have problems,1
gonna have good,1
gonna give,1
gonna have,1
gonna happen to turkey,1
gonna happen to,1
gonna happen next but,1
gonna happen next,1
gonna happen,1
gonna give warsaw shot,1
gonna give warsaw,1
gone nwy isn,1
gone nwy,1
gone much better for,1
going to talk,1
going west and,1
going west,1
going to work,1
going to try juggernaut,1
going to try and,1
going to try,1
going to trieste,1
going to talk to,1
going to take tun,1
gone much better,1
going to take smyrna,1
going to take munich,1
going to take denmark,1
going to take ankara,1
going to take,1
going to support themselves,1
going to support me,1
going to support an,1
going west and getting,1
going west east or,1
going with the,1
going with the same,1
gone much,1
gone can probably shed,1
gone can probably,1
gone can,1
gone after him,1
gone after,1
gone,1
gol wes wes ion,1
gol wes wes,1
gol wes,1
gol to support spain,1
gol to support,1
gol to,1
gol east next season,1
gol east next,1
gol east,1
gol,1
good on the,1
good on the agreement,1
good opportunity,1
gre bul bla,1
gre in,1
gre convoying into con,1
gre convoying into,1
gre convoying,1
gre but can support,1
gre but can,1
gre but,1
gre bul bla bul,1
gre bul,1
gre in fall which,1
gre because he doesnt,1
gre because he,1
gre because,1
gre are,1
gre,1
grander strategic considerations one,1
grander strategic considerations,1
grander,1
gre in fall,1
gre is,1
grand convoy of 1910,1
gre to block my,1
great but,1
great alliance if we,1
great alliance if,1
great alliance,1
great,1
gre would you be,1
gre would you,1
gre would,1
gre to block,1
gre is supporting,1
gre to,1
gre so thatll be,1
gre so thatll,1
gre so,1
gre ser bul,1
gre ser,1
gre open,1
gre is supporting me,1
grand shuffle,1
grand convoy of,1
gotta say don,1
gotten build,1
grab bot,1
grab bag of points,1
grab bag of,1
grab bag,1
gotten started,1
gotten quite chatty with,1
gotten quite chatty,1
gotten quite,1
gotten anything from anyone,1
grab bot and think,1
gotten anything from,1
gotten anything,1
gotten,1
gotta worry about is,1
gotta worry about,1
gotta worry,1
gotta work your shit,1
gotta work your,1
grab bot and,1
grab sev,1
grad students feel as,1
grabbing those,1
grad students,1
grad,1
grace period so was,1
grace period,1
grace,1
grabs or not,1
grabs or,1
grabs,1
grab your neutrals this,1
grab sev back,1
grab your neutrals,1
grab your,1
grab up the majority,1
grab up the,1
grab up,1
grab sweden because why,1
grab sweden because,1
grab sev back so,1
great but we,1
great call,1
great call here,1
great turn last turn,1
greatly appreciated if,1
greatly appreciated,1
greatly,1
great work this turn,1
great work this,1
great work,1
great with italy,1
great with,1
great turn last,1
greatly prefer you,1
great turn,1
great to hear but,1
great to hear,1
great to,1
great thing about austria,1
great thing,1
great thanksgiving,1
great shape,1
greatly prefer,1
greatly prefer you end,1
great call here and,1
greece for you while,1
greece it be hugely,1
greece it be,1
greece it,1
greece is up for,1
greece is,1
greece instead from naples,1
greece instead from,1
greece if,1
greece for you,1
greece,1
greece for,1
greece back,1
greece and move,1
greece and lost serbia,1
greece and lost,1
greece and could go,1
greece and could,1
greece and,1
great question and,1
great question,1
great plan to me,1
great game and,1
great good to knock,1
great good to,1
great good,1
great germany would have,1
great germany would,1
great germany,1
great game and introduction,1
great game and great,1
great game,1
great plan to,1
great for both of,1
great for both,1
great for,1
great except for one,1
great except for,1
great except,1
great deal else to,1
great deal,1
great headway,1
great headway with,1
great headway with your,1
great how,1
great plan,1
great messaged austria about,1
great messaged austria,1
great messaged,1
great look for us,1
great look for,1
great look,1
great job capturing st,1
great job capturing,1
great job,1
great if you wind,1
great if you,1
great if turkey did,1
great if turkey,1
great if,1
great how much have,1
great how much,1
gotta work,1
gotta say,1
good or,1
good time,1
good to know,1
good to knock you,1
good to knock,1
good to discuss things,1
good to discuss,1
good to,1
good time while do,1
good time while,1
good thing going here,1
good to me,1
good thing going,1
good thing forgot to,1
good thing forgot,1
good thing,1
good their positioning,1
good their,1
good terms with your,1
good terms with,1
good to know thanks,1
good to me but,1
good terms but,1
good with my,1
good work on holding,1
good work on,1
good work,1
good word my dude,1
good word my,1
good word,1
good with that,1
good with my offer,1
good with me,1
good to see if,1
good with,1
good weekend yeah expect,1
good weekend yeah,1
good weekend,1
good useful idea and,1
good to talk to,1
good to talk,1
good to see you,1
good terms but any,1
good terms,1
gotta put him to,1
good player,1
good position to,1
good position for stab,1
good position for,1
good position against turkey,1
good position against,1
good position,1
good player or smooth,1
good player or,1
good plan on moving,1
good proposal,1
good plan on,1
good plan,1
good place to take,1
good place to,1
good place for sure,1
good place for,1
good place,1
good or really,1
good progress,1
good push,1
good strategy why haven,1
good since already,1
good strategy why,1
good strategy,1
good staying with russia,1
good staying with,1
good staying,1
good start,1
good spot,1
good since already have,1
good since,1
good relationship,1
good shape,1
good route because it,1
good route because,1
good route,1
good right now and,1
good right now,1
good right,1
good result,1
goodness,1
got,1
